obs,date,season,holiday,working_day,weather_condition,temp,feel_temp,humidity,wind_speed,occasional,members,rental
310,2011-11-06,4,0,0,1,14.281653,18.1179,0.734583,6.1676314,952,2697,3649
311,2011-11-07,4,0,1,1,16.195,20.04355,0.75875,3.834075,373,3662,4035
312,2011-11-08,4,0,1,1,16.741653,20.6123,0.721667,4.6255125,376,3829,4205
313,2011-11-09,4,0,1,1,16.4,20.45395,0.758333,4.1671186,305,3804,4109
314,2011-11-10,4,0,1,2,15.58,18.68605,0.813333,12.667489,190,2743,2933
315,2011-11-11,4,1,0,1,13.290847,15.34085,0.44625,21.083225,440,2928,3368
316,2011-11-12,4,0,0,1,14.623347,17.8971,0.552917,14.208154,1275,2792,4067
317,2011-11-13,4,0,0,1,18.074153,21.5275,0.458333,18.875307,1004,2713,3717
318,2011-11-14,4,0,1,1,21.73,26.2306,0.587083,20.541932,595,3891,4486
319,2011-11-15,4,0,1,2,21.73,25.37895,0.68875,13.375411,449,3746,4195
320,2011-11-16,4,0,1,3,18.723347,22.5994,0.93,9.167543,145,1672,1817
321,2011-11-17,4,0,1,2,14.008347,16.16105,0.575833,20.459254,139,2914,3053
322,2011-11-18,4,0,1,1,11.240847,13.63605,0.41,11.291711,245,3147,3392
323,2011-11-19,4,0,0,1,13.495847,16.22415,0.502083,15.041232,943,2720,3663
324,2011-11-20,4,0,0,2,18.996653,22.8529,0.684583,12.45865,787,2733,3520
325,2011-11-21,4,0,1,3,18.3475,22.2531,0.91,9.249618,220,2545,2765
326,2011-11-22,4,0,1,3,17.083347,21.0848,0.9625,7.959064,69,1538,1607
327,2011-11-23,4,0,1,2,18.074153,21.52685,0.757917,22.500275,112,2454,2566
328,2011-11-24,4,1,0,1,15.306653,18.62355,0.549167,11.209368,560,935,1495
329,2011-11-25,4,0,1,1,15.375,19.03355,0.64375,6.6260186,1095,1697,2792
330,2011-11-26,4,0,0,1,15.409153,19.25435,0.681667,4.5841936,1249,1819,3068
331,2011-11-27,4,0,0,1,18.825847,22.79,0.698333,13.999918,810,2261,3071
332,2011-11-28,4,0,1,1,20.642598,24.5061,0.743043,9.522174,253,3614,3867
333,2011-11-29,4,0,1,2,18.791653,22.56875,0.830833,17.292164,96,2818,2914
334,2011-11-30,4,0,1,1,13.325,15.56105,0.613333,18.167586,188,3425,3613
335,2011-12-01,4,0,1,1,12.8125,15.2777,0.524583,14.750586,182,3545,3727
336,2011-12-02,4,0,1,1,12.880847,16.57165,0.625833,6.750518,268,3672,3940
337,2011-12-03,4,0,0,1,12.265847,15.5302,0.612917,6.4174811,706,2908,3614
338,2011-12-04,4,0,0,1,13.564153,17.455,0.775833,5.6252061,634,2851,3485
339,2011-12-05,4,0,1,2,15.819153,19.69625,0.827083,4.1679561,233,3578,3811
340,2011-12-06,4,0,1,3,18.9625,22.82,0.949583,15.583061,126,2468,2594
341,2011-12-07,4,0,1,3,16.81,20.0123,0.970417,17.833725,50,655,705
342,2011-12-08,4,0,1,1,10.899153,12.8469,0.58,16.083886,150,3172,3322
343,2011-12-09,4,0,1,1,11.924153,15.8771,0.695833,5.5420189,261,3359,3620
344,2011-12-10,4,0,0,1,11.275,13.3206,0.5075,15.625807,502,2688,3190
345,2011-12-11,4,0,0,1,9.054153,12.6577,0.49,4.4582939,377,2366,2743
346,2011-12-12,4,0,1,1,9.771653,13.5098,0.670833,4.25115,143,3167,3310
347,2011-12-13,4,0,1,1,11.5825,15.0569,0.59,9.41685,155,3368,3523
348,2011-12-14,4,0,1,2,13.0175,16.9181,0.66375,4.0842061,178,3562,3740
349,2011-12-15,4,0,1,2,17.3225,20.61185,0.634167,17.958814,181,3528,3709
350,2011-12-16,4,0,1,2,15.375,17.99125,0.500417,17.458525,178,3399,3577
351,2011-12-17,4,0,0,2,10.591653,12.46855,0.560833,16.292189,275,2464,2739
352,2011-12-18,4,0,0,1,9.771653,12.27895,0.58625,11.375193,220,2211,2431
353,2011-12-19,4,0,1,1,11.343347,14.04665,0.6375,11.584032,260,3143,3403
354,2011-12-20,4,0,1,2,15.819153,19.8227,0.595417,4.1252436,216,3534,3750
355,2011-12-21,1,0,1,2,17.561653,21.40085,0.858333,14.8338,107,2553,2660
356,2011-12-22,1,0,1,2,17.356653,21.30605,0.7575,3.167425,227,2841,3068
357,2011-12-23,1,0,1,1,15.306653,18.87565,0.68625,18.374482,163,2046,2209
358,2011-12-24,1,0,0,1,12.4025,14.9621,0.5425,12.750368,155,856,1011
359,2011-12-25,1,0,0,1,11.266103,13.99805,0.681304,10.391097,303,451,754
360,2011-12-26,1,1,0,1,13.191299,15.77675,0.506957,16.044155,430,887,1317
361,2011-12-27,1,0,1,2,13.325,16.38165,0.7625,12.62615,103,1059,1162
362,2011-12-28,1,0,1,1,12.26433,13.9987,0.503913,19.695387,255,2047,2302
363,2011-12-29,1,0,1,1,10.181653,13.1946,0.574167,8.000604,254,2169,2423
364,2011-12-30,1,0,1,1,12.778347,15.9406,0.636667,9.000579,491,2508,2999
365,2011-12-31,1,0,0,1,16.81,20.70605,0.615833,14.750318,665,1820,2485
366,2012-01-01,1,0,0,1,15.17,18.78105,0.6925,12.875189,686,1608,2294
367,2012-01-02,1,1,0,1,11.194763,12.6152,0.381304,22.087555,244,1707,1951
368,2012-01-03,1,0,1,1,6.15,6.31375,0.44125,24.499957,89,2147,2236
369,2012-01-04,1,0,1,2,4.4075,5.96685,0.414583,12.3749,95,2273,2368
370,2012-01-05,1,0,1,1,10.899153,13.9206,0.524167,8.709129,140,3132,3272
371,2012-01-06,1,0,1,1,13.700847,17.01335,0.542083,11.249836,307,3791,4098
372,2012-01-07,1,0,0,1,16.126653,19.53895,0.531667,11.708786,1070,3451,4521
373,2012-01-08,1,0,0,1,13.8375,17.0129,0.465,12.833314,599,2826,3425
374,2012-01-09,1,0,1,2,9.190847,12.37395,0.701667,6.6263,106,2270,2376
375,2012-01-10,1,0,1,1,12.656536,15.9413,0.646522,12.565984,173,3425,3598
376,2012-01-11,1,0,1,2,11.240847,14.14105,0.8475,8.791807,92,2085,2177
377,2012-01-12,1,0,1,2,15.6825,19.0969,0.802917,12.124789,269,3828,4097
378,2012-01-13,1,0,1,1,11.240847,12.4681,0.5075,25.333236,174,3040,3214
379,2012-01-14,1,0,0,1,7.38,9.15435,0.4575,12.541261,333,2160,2493
380,2012-01-15,1,0,0,1,6.833347,8.08125,0.419167,16.834286,284,2027,2311
381,2012-01-16,1,1,0,1,7.79,9.53315,0.5225,15.500986,217,2081,2298
382,2012-01-17,1,0,1,2,15.294763,18.2139,0.716087,23.39171,127,2808,2935
383,2012-01-18,1,0,1,1,12.436653,13.7627,0.443333,27.833743,109,3267,3376
384,2012-01-19,1,0,1,1,7.79,9.5019,0.4975,14.750586,130,3162,3292
385,2012-01-20,1,0,1,2,8.9175,11.0479,0.45,13.58425,115,3048,3163
386,2012-01-21,1,0,0,2,7.106653,8.74375,0.83125,14.917014,67,1234,1301
387,2012-01-22,1,0,0,2,6.6625,8.1125,0.79625,13.375746,196,1781,1977
388,2012-01-23,1,0,1,2,8.951653,12.1529,0.91125,7.417436,145,2287,2432
389,2012-01-24,1,0,1,1,14.0425,17.4554,0.835833,8.292389,439,3900,4339
390,2012-01-25,1,0,1,1,12.060847,14.74105,0.64375,10.791757,467,3803,4270
391,2012-01-26,1,0,1,2,14.008347,17.8025,0.769583,4.9175186,244,3831,4075
392,2012-01-27,1,0,1,2,17.425,20.76915,0.74125,22.958689,269,3187,3456
393,2012-01-28,1,0,0,1,12.949153,16.31895,0.543333,14.125543,775,3248,4023
394,2012-01-29,1,0,0,1,11.5825,13.63605,0.31125,16.08335,558,2685,3243
395,2012-01-30,1,0,1,1,11.035847,13.13125,0.400833,14.458064,126,3498,3624
396,2012-01-31,1,0,1,1,15.99,19.06585,0.416667,17.541739,324,4185,4509
397,2012-02-01,1,0,1,1,19.235847,23.3269,0.507917,12.667489,304,4275,4579
398,2012-02-02,1,0,1,2,16.365847,19.94855,0.672917,12.541529,190,3571,3761
399,2012-02-03,1,0,1,1,12.846653,15.4673,0.526667,11.959232,310,3841,4151
400,2012-02-04,1,0,0,2,10.830847,13.63625,0.779583,8.167032,384,2448,2832
401,2012-02-05,1,0,0,2,10.899153,13.22605,0.687917,11.791732,318,2629,2947
402,2012-02-06,1,0,1,1,11.586969,14.8213,0.622174,10.3046,206,3578,3784
403,2012-02-07,1,0,1,1,14.520847,18.0552,0.49625,9.874393,199,4176,4375
404,2012-02-08,1,0,1,2,10.523347,13.32105,0.722917,8.959307,109,2693,2802
405,2012-02-09,1,0,1,1,10.865,13.0994,0.562083,13.000479,163,3667,3830
406,2012-02-10,1,0,1,2,11.514153,14.6779,0.54,7.834243,227,3604,3831
407,2012-02-11,1,0,0,3,9.190847,10.54335,0.73125,19.416332,192,1977,2169
408,2012-02-12,1,0,0,1,5.2275,5.0829,0.464583,27.417204,73,1456,1529
409,2012-02-13,1,0,1,1,9.1225,11.39565,0.41125,11.207961,94,3328,3422
410,2012-02-14,1,0,1,2,13.085847,16.6973,0.50875,9.458993,135,3787,3922
411,2012-02-15,1,0,1,1,14.281653,17.58145,0.53125,12.1672,141,4028,4169
412,2012-02-16,1,0,1,2,12.983347,16.5081,0.752917,6.125475,74,2931,3005
413,2012-02-17,1,0,1,1,14.076653,17.58145,0.634583,13.791682,349,3805,4154
414,2012-02-18,1,0,0,1,14.213347,17.77125,0.534583,12.792243,1435,2883,4318
415,2012-02-19,1,0,0,2,11.48,13.2894,0.515833,16.958504,618,2071,2689
416,2012-02-20,1,1,0,1,11.48,13.66955,0.507826,15.348561,502,2627,3129
417,2012-02-21,1,0,1,1,11.800866,14.75565,0.594348,13.783039,163,3614,3777
418,2012-02-22,1,0,1,1,16.229153,19.63335,0.567917,15.709557,394,4379,4773
419,2012-02-23,1,0,1,1,18.620847,22.2223,0.554583,12.791171,516,4546,5062
420,2012-02-24,1,0,1,2,16.7075,20.54855,0.7375,15.916989,246,3241,3487
421,2012-02-25,1,0,0,1,11.924153,12.78375,0.395833,28.250014,317,2415,2732
422,2012-02-26,1,0,0,1,11.445847,13.4154,0.41,13.750343,515,2874,3389
423,2012-02-27,1,0,1,1,15.033347,17.8977,0.490833,17.958211,253,4069,4322
424,2012-02-28,1,0,1,1,14.725847,17.67625,0.395833,12.958939,229,4134,4363
425,2012-02-29,1,0,1,2,14.118268,17.4235,0.804783,12.000839,65,1769,1834
426,2012-03-01,1,0,1,1,19.919153,23.76855,0.615417,15.208129,325,4665,4990
427,2012-03-02,1,0,1,2,14.486653,17.9921,0.657083,9.708568,246,2948,3194
428,2012-03-03,1,0,0,2,16.980847,20.6746,0.62125,10.792293,956,3110,4066
429,2012-03-04,1,0,0,1,13.359153,15.15105,0.403333,22.416257,710,2713,3423
430,2012-03-05,1,0,1,1,9.976653,12.05855,0.50625,15.333486,203,3130,3333
431,2012-03-06,1,0,1,1,10.591653,12.7521,0.456667,13.458625,221,3735,3956
432,2012-03-07,1,0,1,1,16.570847,19.255,0.513333,23.167193,432,4484,4916
433,2012-03-08,1,0,1,1,21.6275,26.2302,0.5675,29.584721,486,4896,5382
434,2012-03-09,1,0,1,2,16.844153,19.85415,0.407083,27.7916,447,4122,4569
435,2012-03-10,1,0,0,1,11.7875,13.88835,0.350417,15.12525,968,3150,4118
436,2012-03-11,1,0,0,1,14.831299,17.9835,0.476957,14.913329,1658,3253,4911
437,2012-03-12,1,0,1,1,19.133347,22.9796,0.489167,13.916771,838,4460,5298
438,2012-03-13,1,0,1,1,23.165,27.14645,0.6175,15.87565,762,5085,5847
439,2012-03-14,1,0,1,1,23.4725,27.43085,0.507083,7.709154,997,5315,6312
440,2012-03-15,1,0,1,1,22.8575,26.64125,0.579583,10.042161,1005,5187,6192
441,2012-03-16,1,0,1,2,17.869153,21.81145,0.842083,7.583864,548,3830,4378
442,2012-03-17,1,0,0,2,21.080847,25.2523,0.755833,7.417168,3155,4681,7836
443,2012-03-18,1,0,0,2,19.3725,23.2,0.81,8.501161,2207,3685,5892
444,2012-03-19,1,0,1,1,22.345,26.64105,0.72875,10.875239,982,5171,6153
445,2012-03-20,1,0,1,1,22.994153,26.92665,0.807917,8.125157,1051,5042,6093
446,2012-03-21,2,0,1,2,21.798347,25.6629,0.82125,6.0004061,1122,5108,6230
447,2012-03-22,2,0,1,1,22.720847,26.57835,0.83125,7.876654,1334,5537,6871
448,2012-03-23,2,0,1,2,24.668347,28.50335,0.694167,7.7921,2469,5893,8362
449,2012-03-24,2,0,0,2,20.6025,24.33665,0.885417,12.916461,1033,2339,3372
450,2012-03-25,2,0,0,2,17.9375,21.8744,0.880833,14.791925,1532,3464,4996
451,2012-03-26,2,0,1,1,18.279153,21.9375,0.477917,25.917007,795,4763,5558
452,2012-03-27,2,0,1,1,13.256653,15.7827,0.29,12.541864,531,4571,5102
453,2012-03-28,2,0,1,1,19.850847,23.5475,0.48125,19.541957,674,5024,5698
454,2012-03-29,2,0,1,1,20.260847,24.1152,0.439167,21.41655,834,5299,6133
455,2012-03-30,2,0,1,2,15.17,18.78105,0.580833,9.250489,796,4663,5459
456,2012-03-31,2,0,0,2,17.390847,21.0854,0.738333,16.791339,2301,3934,6235
457,2012-04-01,2,0,0,2,17.459153,20.86435,0.67625,11.541889,2347,3694,6041
458,2012-04-02,2,0,1,1,17.790433,21.37565,0.504348,20.913313,1208,4728,5936
459,2012-04-03,2,0,1,1,19.133347,23.07415,0.396667,6.708911,1348,5424,6772
460,2012-04-04,2,0,1,1,22.208347,26.6725,0.469583,12.125325,1058,5378,6436
461,2012-04-05,2,0,1,1,17.835,21.55815,0.374167,14.708443,1192,5265,6457
462,2012-04-06,2,0,1,1,16.536653,19.53835,0.377083,20.125996,1807,4653,6460
463,2012-04-07,2,0,0,1,17.9375,21.30645,0.254167,18.416357,3252,3605,6857
464,2012-04-08,2,0,0,1,20.5,24.62125,0.275833,15.583932,2230,2939,5169
465,2012-04-09,2,0,1,1,20.055847,23.8319,0.3175,23.999132,905,4680,5585
466,2012-04-10,2,0,1,1,18.313347,21.81165,0.435,16.708125,819,5099,5918
467,2012-04-11,2,0,1,1,14.296536,16.8637,0.469565,19.783358,482,4380,4862
468,2012-04-12,2,0,1,1,16.2975,19.3802,0.46625,19.458743,663,4746,5409
469,2012-04-13,2,0,1,1,18.1425,21.5904,0.408333,10.416557,1252,5146,6398
470,2012-04-14,2,0,0,1,20.295,24.3998,0.502917,12.791439,2795,4665,7460
471,2012-04-15,2,0,0,1,24.873347,28.69375,0.507917,15.083643,2846,4286,7132
472,2012-04-16,2,1,0,1,27.230847,30.74625,0.561667,19.083543,1198,5172,6370
473,2012-04-17,2,0,1,1,24.941653,29.92435,0.390417,18.333143,989,5702,6691
474,2012-04-18,2,0,1,2,18.996653,22.8519,0.569167,11.250104,347,4020,4367
475,2012-04-19,2,0,1,1,20.431653,24.6523,0.6125,4.4172564,846,5719,6565
476,2012-04-20,2,0,1,1,21.593347,25.78875,0.694583,10.041357,1340,5950,7290
477,2012-04-21,2,0,0,1,23.37,27.14605,0.682917,19.000329,2541,4083,6624
478,2012-04-22,2,0,0,3,16.263347,19.4752,0.835417,23.084582,120,907,1027
479,2012-04-23,2,0,1,2,13.188347,15.05625,0.766667,20.334232,195,3019,3214
480,2012-04-24,2,0,1,1,16.946653,20.26415,0.454167,16.708661,518,5115,5633
481,2012-04-25,2,0,1,1,19.543347,23.51585,0.427917,7.959064,655,5541,6196
482,2012-04-26,2,0,1,2,20.431653,24.17915,0.756667,11.833875,475,4551,5026
483,2012-04-27,2,0,1,1,18.7575,22.63185,0.400833,23.291411,1014,5219,6233
484,2012-04-28,2,0,0,2,15.443347,18.8752,0.489583,8.708325,1120,3100,4220
485,2012-04-29,2,0,0,1,18.791653,22.50605,0.587083,7.832836,2229,4075,6304
486,2012-04-30,2,0,1,2,19.030847,22.8848,0.57,11.499746,665,4907,5572
487,2012-05-01,2,0,1,2,25.146653,28.85105,0.659583,10.458432,653,5087,5740
488,2012-05-02,2,0,1,1,23.130847,26.8948,0.797083,9.249886,667,5502,6169
489,2012-05-03,2,0,1,2,22.96,26.8621,0.768333,8.957632,764,5657,6421
490,2012-05-04,2,0,1,1,25.7275,29.54585,0.735417,10.916846,1069,5227,6296
491,2012-05-05,2,0,0,2,25.488347,29.2304,0.756667,10.250464,2496,4387,6883
492,2012-05-06,2,0,0,2,23.0625,27.33685,0.74,10.041893,2135,4224,6359
493,2012-05-07,2,0,1,2,22.0375,26.3571,0.664167,15.458307,1008,5265,6273
494,2012-05-08,2,0,1,2,23.848347,27.87355,0.685833,19.833943,738,4990,5728
495,2012-05-09,2,0,1,2,23.575,27.65125,0.744167,14.499604,620,4097,4717
496,2012-05-10,2,0,1,1,20.739153,24.58915,0.552083,21.042221,1026,5546,6572
497,2012-05-11,2,0,1,1,21.866653,26.04165,0.360417,15.874779,1319,5711,7030
498,2012-05-12,2,0,0,1,23.130847,27.24085,0.480417,8.249911,2622,4807,7429
499,2012-05-13,2,0,0,1,25.1125,29.2619,0.57625,15.082839,2172,3946,6118
500,2012-05-14,2,0,1,2,23.506653,27.495,0.789583,14.250364,342,2501,2843
501,2012-05-15,2,0,1,2,25.078347,28.8202,0.794583,9.875264,625,4490,5115
502,2012-05-16,2,0,1,1,26.103347,29.79875,0.697917,8.208304,991,6433,7424
503,2012-05-17,2,0,1,1,24.326653,28.63065,0.52,15.374825,1242,6142,7384
504,2012-05-18,2,0,1,1,23.130847,27.55605,0.523333,9.166739,1521,6118,7639
505,2012-05-19,2,0,0,1,24.6,28.3454,0.45625,5.626325,3410,4884,8294
506,2012-05-20,2,0,0,1,25.454153,29.19835,0.530417,17.042589,2704,4425,7129
507,2012-05-21,2,0,1,2,24.531653,28.28335,0.81125,15.624668,630,3729,4359
508,2012-05-22,2,0,1,2,25.215,29.04125,0.765833,7.917189,819,5254,6073
509,2012-05-23,2,0,1,2,25.488347,29.2306,0.774583,6.834,766,4494,5260
510,2012-05-24,2,0,1,1,26.855,30.335,0.716667,11.584032,1059,5711,6770
511,2012-05-25,2,0,1,1,27.88,31.37645,0.747083,9.41685,1417,5317,6734
512,2012-05-26,2,0,0,1,28.3925,32.1348,0.7325,13.332464,2855,3681,6536
513,2012-05-27,2,0,0,1,28.29,32.07125,0.697083,14.416457,3283,3308,6591
514,2012-05-28,2,1,0,1,29.2125,33.965,0.67625,13.166907,2557,3486,6043
515,2012-05-29,2,0,1,1,29.6225,33.6496,0.684583,19.7918,880,4863,5743
516,2012-05-30,2,0,1,2,26.923347,30.55645,0.67,9.000043,745,6110,6855
517,2012-05-31,2,0,1,1,27.88,31.56645,0.492917,13.083693,1100,6238,7338
518,2012-06-01,2,0,1,2,26.820847,30.3981,0.755417,15.916721,533,3594,4127
519,2012-06-02,2,0,0,1,23.916653,28.3144,0.549167,12.499654,2795,5325,8120
520,2012-06-03,2,0,0,1,24.7025,28.75665,0.493333,12.333829,2494,5147,7641
521,2012-06-04,2,0,1,1,24.4975,28.91415,0.487083,19.083811,1071,5927,6998
522,2012-06-05,2,0,1,2,22.174153,26.2946,0.613333,14.041525,968,6033,7001
523,2012-06-06,2,0,1,1,22.720847,27.1146,0.61125,5.167375,1027,6028,7055
524,2012-06-07,2,0,1,1,24.7025,28.4721,0.567083,10.54245,1038,6456,7494
525,2012-06-08,2,0,1,1,26.615847,29.8931,0.467917,11.750661,1488,6248,7736
526,2012-06-09,2,0,0,1,29.144153,32.41835,0.437083,9.667229,2708,4790,7498
527,2012-06-10,2,0,0,1,29.793347,33.17585,0.538333,8.959307,2224,4374,6598
528,2012-06-11,2,0,1,2,29.554153,32.98605,0.587917,13.916771,1017,5647,6664
529,2012-06-12,2,0,1,2,26.786653,29.89375,0.833333,14.374582,477,4495,4972
530,2012-06-13,2,0,1,1,26.889153,30.55585,0.582083,22.999693,1173,6248,7421
531,2012-06-14,2,0,1,1,26.581653,31.21915,0.569583,17.000111,1180,6183,7363
532,2012-06-15,2,0,1,1,26.205847,29.9877,0.589583,11.833339,1563,6102,7665
533,2012-06-16,2,0,0,1,25.898347,29.7354,0.504167,11.166689,2963,4739,7702
534,2012-06-17,2,0,0,1,24.2925,28.59875,0.59875,9.708568,2634,4344,6978
535,2012-06-18,2,0,1,2,23.301653,27.2421,0.777917,11.707982,653,4446,5099
536,2012-06-19,2,0,1,1,28.221653,32.7346,0.69,9.917139,968,5857,6825
537,2012-06-20,2,0,1,1,32.0825,36.04875,0.592083,7.625404,872,5339,6211
538,2012-06-21,3,0,1,1,33.039153,37.6271,0.567917,7.958729,778,5127,5905
539,2012-06-22,3,0,1,1,31.8775,36.20605,0.57375,12.250414,964,4859,5823
540,2012-06-23,3,0,0,1,29.998347,32.6396,0.534583,12.041307,2657,4801,7458
541,2012-06-24,3,0,0,1,30.476653,33.7127,0.479167,9.750175,2551,4340,6891
542,2012-06-25,3,0,1,1,29.349153,32.7021,0.504167,20.125661,1139,5640,6779
543,2012-06-26,3,0,1,1,25.864153,29.7352,0.373333,23.292014,1077,6365,7442
544,2012-06-27,3,0,1,1,28.5975,32.0396,0.36,18.208925,1077,6258,7335
545,2012-06-28,3,0,1,1,30.715847,33.7756,0.4225,11.50055,921,5958,6879
546,2012-06-29,3,0,1,1,34.200847,39.33065,0.48875,11.082939,829,4634,5463
547,2012-06-30,3,0,0,1,31.365,34.3754,0.60125,10.791757,1455,4232,5687
548,2012-07-01,3,0,0,1,33.449153,37.53145,0.51875,11.291443,1421,4110,5531
549,2012-07-02,3,0,1,1,32.048347,35.1019,0.447083,13.082889,904,5323,6227
550,2012-07-03,3,0,1,1,32.014153,35.1325,0.492083,8.457879,1052,5608,6660
551,2012-07-04,3,1,0,1,32.355847,36.61685,0.53875,9.04165,2562,4841,7403
552,2012-07-05,3,0,1,1,33.9275,38.06835,0.457917,12.999943,1405,4836,6241
553,2012-07-06,3,0,1,1,33.961653,37.62665,0.450833,9.791514,1366,4841,6207
554,2012-07-07,3,0,0,1,35.328347,40.24565,0.492083,10.958118,1448,3392,4840
555,2012-07-08,3,0,0,1,33.7225,39.5198,0.57375,8.417143,1203,3469,4672
556,2012-07-09,3,0,1,2,29.144153,32.7027,0.683333,12.125325,998,5571,6569
557,2012-07-10,3,0,1,2,29.554153,33.2398,0.6675,10.166379,954,5336,6290
558,2012-07-11,3,0,1,1,29.383347,32.51355,0.633333,10.166111,975,6289,7264
559,2012-07-12,3,0,1,1,29.349153,32.73415,0.529583,9.833925,1032,6414,7446
560,2012-07-13,3,0,1,2,29.998347,33.39665,0.485833,5.41695,1511,5988,7499
561,2012-07-14,3,0,0,2,28.836653,33.3021,0.699167,9.626493,2355,4614,6969
562,2012-07-15,3,0,0,1,30.579153,35.2598,0.717917,11.166689,1920,4111,6031
563,2012-07-16,3,0,1,1,31.296653,36.20625,0.645,11.000529,1088,5742,6830
564,2012-07-17,3,0,1,1,33.551653,37.78415,0.505833,7.666743,921,5865,6786
565,2012-07-18,3,0,1,1,32.526653,37.27915,0.577083,9.208614,799,4914,5713
566,2012-07-19,3,0,1,1,31.57,35.7321,0.600417,11.083743,888,5703,6591
567,2012-07-20,3,0,1,2,27.299153,30.65125,0.844167,14.000789,747,5123,5870
568,2012-07-21,3,0,0,3,24.429153,27.4956,0.865417,14.2911,1264,3195,4459
569,2012-07-22,3,0,0,2,27.3675,31.15625,0.7625,6.2926936,2544,4866,7410
570,2012-07-23,3,0,1,1,30.408347,34.50085,0.694167,9.291761,1135,5831,6966
571,2012-07-24,3,0,1,1,30.784153,35.3225,0.655,14.167418,1140,6452,7592
572,2012-07-25,3,0,1,1,29.690847,32.7027,0.45,11.0416,1383,6790,8173
573,2012-07-26,3,0,1,1,31.843347,36.96315,0.596667,19.082471,1036,5825,6861
574,2012-07-27,3,0,1,1,32.048347,36.71085,0.594583,10.250464,1259,5645,6904
575,2012-07-28,3,0,0,1,30.989153,34.8802,0.613333,10.54245,2234,4451,6685
576,2012-07-29,3,0,0,1,29.588347,33.39665,0.62375,11.416532,2153,4444,6597
577,2012-07-30,3,0,1,1,29.964153,34.24935,0.66875,10.292339,1040,6065,7105
578,2012-07-31,3,0,1,1,29.246653,33.1448,0.704167,11.083475,968,6248,7216
579,2012-08-01,3,0,1,1,29.4175,33.3654,0.6775,9.458993,1074,6506,7580
580,2012-08-02,3,0,1,1,30.8525,35.3544,0.659583,8.666718,983,6278,7261
581,2012-08-03,3,0,1,2,31.399153,36.14335,0.6425,14.458064,1328,5847,7175
582,2012-08-04,3,0,0,1,32.526653,37.56335,0.613333,17.249686,2345,4479,6824
583,2012-08-05,3,0,0,1,31.535847,36.55395,0.6525,19.458207,1707,3757,5464
584,2012-08-06,3,0,1,2,30.8525,35.5123,0.654167,8.666718,1233,5780,7013
585,2012-08-07,3,0,1,2,30.169153,34.88105,0.70375,7.832836,1278,5995,7273
586,2012-08-08,3,0,1,2,30.75,35.38585,0.672917,7.4169,1263,6271,7534
587,2012-08-09,3,0,1,1,30.989153,34.9754,0.620417,10.4587,1196,6090,7286
588,2012-08-10,3,0,1,2,29.349153,33.3971,0.715833,16.000471,1065,4721,5786
589,2012-08-11,3,0,0,2,28.3925,31.91335,0.732917,13.834093,2247,4052,6299
590,2012-08-12,3,0,0,1,28.734153,32.22895,0.530417,8.208304,2182,4362,6544
591,2012-08-13,3,0,1,1,29.554153,33.1127,0.545417,9.126204,1207,5676,6883
592,2012-08-14,3,0,1,1,29.793347,33.83895,0.686667,11.333586,1128,5656,6784
593,2012-08-15,3,0,1,1,28.973347,32.70185,0.619583,11.374657,1198,6149,7347
594,2012-08-16,3,0,1,1,29.485847,32.7344,0.519167,9.500332,1338,6267,7605
595,2012-08-17,3,0,1,1,29.656653,12.12,0.570833,15.500718,1483,5665,7148
596,2012-08-18,3,0,0,1,27.811653,30.90355,0.603333,11.917089,2827,5038,7865
597,2012-08-19,3,0,0,2,26.069153,30.1777,0.711667,5.79215,1208,3341,4549
598,2012-08-20,3,0,1,2,26.069153,29.79835,0.734167,8.708593,1026,5504,6530
599,2012-08-21,3,0,1,1,26.615847,30.05125,0.67375,4.8756436,1081,5925,7006
600,2012-08-22,3,0,1,1,27.3675,31.0927,0.677083,4.7089811,1094,6281,7375
601,2012-08-23,3,0,1,1,28.529153,31.8504,0.635833,5.6679186,1363,6402,7765
602,2012-08-24,3,0,1,2,28.8025,32.355,0.615,4.8337686,1325,6257,7582
603,2012-08-25,3,0,0,2,27.128347,30.9348,0.712917,16.375336,1829,4224,6053
604,2012-08-26,3,0,0,2,26.786653,29.7998,0.845833,15.333486,1483,3772,5255
605,2012-08-27,3,0,1,1,28.836653,32.7344,0.730417,8.625111,989,5928,6917
606,2012-08-28,3,0,1,1,29.861653,33.3025,0.62,12.791975,935,6105,7040
607,2012-08-29,3,0,1,1,28.085,31.78665,0.552083,7.541654,1177,6520,7697
608,2012-08-30,3,0,1,1,28.973347,32.63895,0.590417,5.1668189,1172,6541,7713
609,2012-08-31,3,0,1,1,31.330847,34.47,0.5875,11.291711,1433,5917,7350
610,2012-09-01,3,0,0,2,30.886653,35.1327,0.638333,7.583529,2352,3788,6140
611,2012-09-02,3,0,0,2,28.563347,32.45,0.815,4.2927436,2613,3197,5810
612,2012-09-03,3,1,0,1,29.0075,33.08145,0.790833,10.125107,1965,4069,6034
613,2012-09-04,3,0,1,1,29.759153,34.3444,0.755,15.833507,867,5997,6864
614,2012-09-05,3,0,1,1,30.203347,35.44915,0.74125,12.583136,832,6280,7112
615,2012-09-06,3,0,1,2,28.563347,32.76645,0.810417,9.542207,611,5592,6203
616,2012-09-07,3,0,1,1,28.836653,32.8602,0.73625,11.500282,1045,6459,7504
617,2012-09-08,3,0,0,2,27.025847,30.55605,0.799167,18.833968,1557,4419,5976
